ID,Ag_Bulk,Ag-Surface,R_min,R_max,R_avg,R_std,R_skew,R_kurt,Anisotropy,Facets,S_100,S_111,S_110,S_311,Curve_0-10,Curve_11-20,Curve_21-30,Curve_31-40,Curve_41-50,Curve_51-60,Curve_61-70,Curve_71-80,Curve_81-90,Curve_91-100,Curve_101-110,Curve_111-120,Curve_121-130,Curve_131-140,Curve_141-150,Curve_151-160,Curve_161-170,Curve_171-180,Ag_coord,Ag_bulk_coord,Ag_surf_coord,SCN1,SCN2,SCN3,SCN4,SCN5,SCN6,SCN7,SCN8,SCN9,SCN10,SCN11,SCN12,Ag_bonds,Ag-Ag_length,Ag-Ag_stdev,FCC,HCP,ICOS,DECA,q6q6_Ag_all,q6q6_Ag_bulk,q6q6_Ag_surf,q6q6_T0,q6q6_T1,q6q6_T2,q6q6_T3,q6q6_T4,q6q6_T5,q6q6_T6,q6q6_T7,q6q6_T8,q6q6_T9,q6q6_T10,q6q6_T11,q6q6_T12,q6q6_T13,q6q6_T14,q6q6_T15,q6q6_T16,q6q6_T17,q6q6_T18,q6q6_T19,q6q6_T20,q6q6_20+,Shape,Formation_E,EF,IP,EA,EG
11,0.240506329,0.759493671,5.2189,6.3322,5.754,0.5038,0.1309,-1.806,1.213452787,14,0,0.303797468,0.151898734,0,0.303797468,0,0.151898734,0.303797468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5063,12,7.4,0,0,0,0,0,0.303797468,0.151898734,0,0.303797468,0,0,0,336,2.88558,0.15304,0.240506329,0,0,0,8.5063,12,7.4,0,0,0,0,0,0,0.303797468,0.151898734,0,0.303797468,0,0,0.240506329,0,0,0,0,0,0,0,0,0,Truncated_octahedron,0.467542487,-3.8038,4.8307,2.7786,2.0521
12,0.119047619,0.880952381,3.6188,10.3948,6.2095,1.7143,0.7605,0.0299,2.872335096,4,0,0.047619048,0.214285714,0,0.047619048,0,0.285714286,0.142857143,0.25,0.107142857,0.047619048,0,0,0,0,0,0,0,0,0,0,0,8,12,7.4595,0,0,0.047619048,0,0,0.357142857,0,0,0.476190476,0,0,0,336,2.86201,0.15851,0.119047619,0,0,0,8,12,7.4595,0,0,0,0.047619048,0,0,0.357142857,0,0,0.476190476,0,0,0.119047619,0,0,0,0,0,0,0,0,0,Tetrahedron,0.554443391,-3.7706,4.7102,2.8851,1.8251
13,0.270588235,0.729411765,5.0216,7.3548,6.025,0.805,0.2631,-1.0959,1.464902986,15,0,0.117647059,0.235294118,0.235294118,0.117647059,0.235294118,0.235294118,0.141176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5647,12,7.2903,0,0,0,0,0.117647059,0.023529412,0.235294118,0.235294118,0.117647059,0,0,0,364,2.88835,0.13229,0.058823529,0.176470588,0,0.035294118,7.1059,8.8696,6.4516,0.023529412,0.023529412,0.011764706,0,0.117647059,0.117647059,0,0.235294118,0.235294118,0.117647059,0,0,0.117647059,0,0,0,0,0,0,0,0,0,Decahedron,0.45546003,-4.0718,5.0632,3.0662,1.997
14,0.223529412,0.776470588,5.2098,7.7442,5.9672,0.7744,0.8644,0.0896,1.48634208,8,0,0.282352941,0.423529412,0,0.282352941,0,0.141176471,0.282352941,0.070588235,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4706,12,7.4545,0,0,0,0.070588235,0,0,0.423529412,0,0.282352941,0,0,0,360,2.88682,0.14058,0.223529412,0,0,0,8.4706,12,7.4545,0,0,0,0,0.070588235,0,0,0.423529412,0,0.282352941,0,0,0.223529412,0,0,0,0,0,0,0,0,0,Octahedron,0.464857677,-3.7632,4.7505,2.7636,1.9869
15,0.218390805,0.781609195,5.2564,6.7839,5.9201,0.5824,0.0576,-1.6559,1.189515509,12,0,0,0.137931034,0,0,0,0.413793103,0.275862069,0,0,0.091954023,0,0,0,0,0,0,0,0,0,0,0,8.2759,12,7.2353,0,0,0.091954023,0,0,0.275862069,0.137931034,0,0,0.275862069,0,0,360,2.88441,0.17211,0.218390805,0,0,0,7.7241,12,6.5294,0.091954023,0,0,0,0,0,0.275862069,0.137931034,0,0.275862069,0,0,0.218390805,0,0,0,0,0,0,0,0,0,Rhombic_dodecahedron,0.486050781,-3.8737,4.8576,2.8772,1.9804
16,0.152173913,0.847826087,4.8224,6.5743,5.8962,0.7365,-0.7084,-1.3397,1.061818525,20,0,0,0.260869565,0,0,0,0,0.260869565,0.586956522,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3478,12,7.6923,0,0,0,0,0.260869565,0,0.260869565,0.065217391,0,0,0.260869565,0,384,2.8843,0.16025,0.152173913,0,0,0,8.3478,12,7.6923,0,0,0,0,0,0.260869565,0,0.260869565,0.065217391,0,0,0.260869565,0.152173913,0,0,0,0,0,0,0,0,0,Rhombitruncated_octahedron,0.466610938,-3.686,4.8047,2.5802,2.2245
17,0.204301075,0.795698925,5.2835,7.8249,6.1145,0.7709,0.5949,-0.3711,1.37161888,24,0,0,0.387096774,0,0,0,0.387096774,0.258064516,0.064516129,0,0.086021505,0,0,0,0,0,0,0,0,0,0,0,8.2581,12,7.2973,0,0,0.086021505,0.064516129,0,0,0.387096774,0,0,0.258064516,0,0,384,2.89007,0.16293,0.204301075,0,0,0,7.7419,12,6.6486,0.086021505,0,0,0,0.064516129,0,0,0.387096774,0,0.258064516,0,0,0.204301075,0,0,0,0,0,0,0,0,0,Trisoctahedron,0.489582408,-3.4626,4.3984,2.527,1.8714
18,0.23,0.77,5.0738,8.2268,6.4842,1.1436,0.1657,-1.3954,1.621564933,20,0,0.1,0.25,0,0.1,0.2,0.32,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,8.68,12,7.6883,0,0,0,0,0.1,0.07,0.1,0.2,0.3,0,0,0,434,2.89654,0.15755,0.05,0.15,0,0.03,7.04,8.8696,6.4935,0.02,0.02,0.01,0.1,0.1,0.1,0.05,0,0.2,0.3,0,0,0.1,0,0,0,0,0,0,0,0,0,Decahedron,0.430069677,-3.687,4.6122,2.7593,1.8529
19,0.287128713,0.712871287,5.4127,7.2017,6.351,0.4437,-0.9658,0.5448,1.330726908,25,0,0.198019802,0.099009901,0.099009901,0.099009901,0.198019802,0.396039604,0.01980198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8119,12,7.5278,0,0,0,0,0,0.217821782,0.198019802,0.099009901,0.099009901,0.099009901,0,0,445,2.90396,0.14095,0.099009901,0.148514851,0,0.03960396,7.2871,8.4828,6.8056,0.01980198,0.01980198,0.01980198,0,0.099009901,0,0.198019802,0.198019802,0.148514851,0.099009901,0.099009901,0,0.099009901,0,0,0,0,0,0,0,0,0,Decahedron,0.413800251,-3.6146,4.5571,2.673,1.8841
20,0.219047619,0.780952381,4.9304,9.6646,6.6341,1.292,0.5254,-0.6102,1.964300976,10,0,0.20952381,0.371428571,0,0.171428571,0.19047619,0.152380952,0.142857143,0.076190476,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,8.6286,12.3043,7.5976,0,0,0,0.047619048,0,0.076190476,0.123809524,0.380952381,0.152380952,0,0,0,453,2.89869,0.16142,0.019047619,0.104761905,0,0.028571429,6.8,8.5652,6.3049,0.019047619,0.019047619,0.019047619,0.057142857,0.133333333,0,0.114285714,0.266666667,0.133333333,0.152380952,0.019047619,0,0.028571429,0.019047619,0.019047619,0,0,0,0,0,0,0,Decahedron,0.436717677,-3.5918,4.501,2.6466,1.8544
